"departments","year","total_spending","rnk"
"National Defence",2017,"1774803224.16","1"
"Parks Canada",2017,"705050629.97","2"
"Fisheries and Oceans Canada",2017,"476064274.47","3"
"National Research Council Canada",2017,"246927325.37","4"
"Correctional Service of Canada",2017,"244409875.26","5"
"Global Affairs Canada",2017,"145887209.94","6"
"Natural Resources Canada",2017,"130632335.84","7"
"Environment and Climate Change Canada",2017,"126822294.12","8"
"Innovation, Science and Economic Development Canada",2017,"118840450.09","9"
"Canada Border Services Agency",2017,"88485782.05","10"
"Department of Housing, Infrastructure and Communities",2018,"4830635980.97","1"
"National Defence",2018,"3109825889.54","2"
"Parks Canada",2018,"924543324.73","3"
"Fisheries and Oceans Canada",2018,"897224882.75","4"
"Correctional Service of Canada",2018,"290061250.44","5"
"Global Affairs Canada",2018,"276674571.16","6"
"Canada Border Services Agency",2018,"238675183.14","7"
"Immigration, Refugees and Citizenship Canada",2018,"198830722.89","8"
"Innovation, Science and Economic Development Canada",2018,"175891108.55","9"
"National Research Council Canada",2018,"161237670.82","10"
"National Defence",2019,"3861589306.60","1"
"Fisheries and Oceans Canada",2019,"1255145476.64","2"
"Parks Canada",2019,"553383948.39","3"
"Correctional Service of Canada",2019,"331380005.39","4"
"Canada Border Services Agency",2019,"315536598.18","5"
"Global Affairs Canada",2019,"281737856.69","6"
"Immigration, Refugees and Citizenship Canada",2019,"271022647.28","7"
"Employment and Social Development Canada",2019,"167177362.18","8"
"National Research Council Canada",2019,"156765234.57","9"
"Canada Revenue Agency",2019,"145050547.58","10"
"National Defence",2020,"4389299884.45","1"
"Fisheries and Oceans Canada",2020,"1360005040.70","2"
"Canadian Space Agency",2020,"774259931.62","3"
"Canada Border Services Agency",2020,"412537774.81","4"
"Parks Canada",2020,"360591333.89","5"
"Correctional Service of Canada",2020,"348739408.64","6"
"Employment and Social Development Canada",2020,"325489346.69","7"
"Immigration, Refugees and Citizenship Canada",2020,"324841660.65","8"
"Global Affairs Canada",2020,"320420466.47","9"
"Health Canada",2020,"229417138.47","10"
"National Defence",2021,"5828695963.02","1"
"Fisheries and Oceans Canada",2021,"1155286267.35","2"
"Employment and Social Development Canada",2021,"495118872.67","3"
"Canada Border Services Agency",2021,"485881198.36","4"
"Correctional Service of Canada",2021,"432415234.61","5"
"Immigration, Refugees and Citizenship Canada",2021,"411859867.80","6"
"Global Affairs Canada",2021,"327439591.92","7"
"Parks Canada",2021,"311879983.78","8"
"Health Canada",2021,"286732772.95","9"
"Canadian Space Agency",2021,"253489724.93","10"
"National Defence",2022,"12795379421.19","1"
"Fisheries and Oceans Canada",2022,"2000919900.04","2"
"Employment and Social Development Canada",2022,"540264824.59","3"
"Canada Border Services Agency",2022,"534746072.52","4"
"Correctional Service of Canada",2022,"522689340.31","5"
"Immigration, Refugees and Citizenship Canada",2022,"496256877.15","6"
"Global Affairs Canada",2022,"330998254.90","7"
"Health Canada",2022,"307909818.09","8"
"Canadian Space Agency",2022,"260098993.38","9"
"Canada Revenue Agency",2022,"242141522.47","10"
"National Defence",2023,"13306012094.47","1"
"Fisheries and Oceans Canada",2023,"1677084579.46","2"
"Immigration, Refugees and Citizenship Canada",2023,"582129903.71","3"
"Correctional Service of Canada",2023,"544724535.35","4"
"Canada Border Services Agency",2023,"531280885.47","5"
"Employment and Social Development Canada",2023,"464029128.89","6"
"Health Canada",2023,"378863129.34","7"
"Global Affairs Canada",2023,"366566036.37","8"
"Canadian Space Agency",2023,"265589850.39","9"
"Natural Resources Canada",2023,"232835684.09","10"
"National Defence",2024,"30584377279.74","1"
"Fisheries and Oceans Canada",2024,"1880826563.08","2"
"Correctional Service of Canada",2024,"586504626.44","3"
"Canada Border Services Agency",2024,"520700289.42","4"
"Immigration, Refugees and Citizenship Canada",2024,"517652013.56","5"
"Employment and Social Development Canada",2024,"501353462.98","6"
"Global Affairs Canada",2024,"432424882.09","7"
"Health Canada",2024,"351589646.05","8"
"National Research Council Canada",2024,"270770308.38","9"
"Canadian Space Agency",2024,"270373411.03","10"
"National Defence",2025,"18620691047.34","1"
"Fisheries and Oceans Canada",2025,"8939966672.20","2"
"Employment and Social Development Canada",2025,"674253415.55","3"
"Correctional Service of Canada",2025,"558164949.51","4"
"Canada Border Services Agency",2025,"523133258.67","5"
"Global Affairs Canada",2025,"451211930.52","6"
"Immigration, Refugees and Citizenship Canada",2025,"418344612.07","7"
"National Research Council Canada",2025,"307952101.26","8"
"Health Canada",2025,"267814776.98","9"
"Canadian Space Agency",2025,"260944904.26","10"
"National Defence",2026,"6541130637.48","1"
"Fisheries and Oceans Canada",2026,"1016836697.53","2"
"Correctional Service of Canada",2026,"323647927.66","3"
"Canada Border Services Agency",2026,"304231065.10","4"
"Employment and Social Development Canada",2026,"253771945.87","5"
"Immigration, Refugees and Citizenship Canada",2026,"239150095.44","6"
"Global Affairs Canada",2026,"213284168.92","7"
"Canadian Space Agency",2026,"212820922.85","8"
"Health Canada",2026,"170231144.77","9"
"Environment and Climate Change Canada",2026,"113143794.96","10"
