"fiscal_year","total_entries","total_amendments","total_contracts"
"189900-Q3","3","2","1"
"199900-Q4","2","0","2"
"200102-Q4","9","7","2"
"200203-Q1","5","1","4"
"200203-Q2","4","2","2"
"200203-Q3","5","4","1"
"200203-Q4","5","0","5"
"200304-Q1","18","15","3"
"200304-Q2","11","10","1"
"200304-Q3","8","6","2"
"200304-Q4","202","5","197"
"200405-Q1","4775","1","4774"
"200405-Q2","4521","0","4521"
"200405-Q3","4113","33","4080"
"200405-Q4","8647","18","8629"
"200506-Q1","4470","26","4444"
"200506-Q2","5018","51","4967"
"200506-Q3","5249","78","5171"
"200506-Q4","5739","120","5619"
"200607-Q1","4075","61","4014"
"200607-Q2","3653","60","3593"
"200607-Q3","5122","111","5011"
"200607-Q4","6306","175","6131"
"200708-Q1","5104","238","4866"
"200708-Q2","4740","92","4648"
"200708-Q3","5488","185","5303"
"200708-Q4","8202","240","7962"
"200809-Q1","5273","177","5096"
"200809-Q2","5178","166","5012"
"200809-Q3","6499","207","6292"
"200809-Q4","10420","246","10174"
"200910-Q1","8407","324","8083"
"200910-Q2","7428","212","7216"
"200910-Q3","7636","231","7405"
"200910-Q4","10768","411","10357"
"201011-Q1","9667","818","8849"
"201011-Q2","9493","620","8873"
"201011-Q3","10656","653","10003"
"201011-Q4","15974","1121","14853"
"201112-Q1","10412","752","9660"
"201112-Q2","9726","516","9210"
"201112-Q3","8400","571","7829"
"201112-Q4","15710","1072","14638"
"201213-Q1","9201","593","8608"
"201213-Q2","8607","451","8156"
"201213-Q3","10246","597","9649"
"201213-Q4","12744","987","11757"
"201314-Q1","9283","736","8547"
"201314-Q2","8606","578","8028"
"201314-Q3","8076","610","7466"
"201314-Q4","13894","862","13032"
"201415-Q1","10564","694","9870"
"201415-Q2","9413","634","8779"
"201415-Q3","9852","679","9173"
"201415-Q4","12174","1117","11057"
"201516-Q1","11264","979","10285"
"201516-Q2","8273","920","7353"
"201516-Q3","11352","958","10394"
"201516-Q4","13359","835","12524"
"201617-Q1","10322","776","9546"
"201617-Q2","9862","1100","8762"
"201617-Q3","10149","1161","8988"
"201617-Q4","17640","3741","13899"
"201718-Q1","13663","2474","11189"
"201718-Q2","11960","2028","9932"
"201718-Q3","14079","2417","11662"
"201718-Q4","20457","3798","16659"
"201819-Q1","16966","2923","14043"
"201819-Q2","13049","2151","10898"
"201819-Q3","15156","2740","12416"
"201819-Q4","20895","4123","16772"
"201920-Q1","14900","2443","12457"
"201920-Q2","13354","5594","7760"
"201920-Q3","15000","2550","12450"
"201920-Q4","19906","4392","15514"
"202021-Q1","11641","2584","9057"
"202021-Q2","12046","2304","9742"
"202021-Q3","14910","2685","12225"
"202021-Q4","20544","4503","16041"
"202122-Q1","14165","2518","11647"
"202122-Q2","13450","2322","11128"
"202122-Q3","16062","2961","13101"
"202122-Q4","20632","4657","15975"
"202223-Q1","15920","2712","13208"
"202223-Q2","14357","2490","11867"
"202223-Q3","16239","3065","13174"
"202223-Q4","19768","4747","15021"
"202324-Q1","15868","3323","12545"
"202324-Q2","15424","3074","12350"
"202324-Q3","16452","3031","13421"
"202324-Q4","20283","4881","15402"
"202425-Q1","15566","3040","12526"
"202425-Q2","13649","2635","11014"
"202425-Q3","15057","2830","12227"
"202425-Q4","19393","4327","15066"
"202526-Q1","14119","2525","11594"
"202526-Q2","14505","2606","11899"
"202526-Q3","17325","3032","14293"
"202526-Q4","1","0","1"
